NomeTimeCasa;PlacarTimeCasa;NomeTimeVisitante;PlacarTimeVisitante;Rodada;DataHoraJogo
Sport - PE;2;Cruzeiro - MG;1;23;09/09/2012 18:30
Vasco da Gama - RJ;0;Bahia - BA;4;23;09/09/2012 18:30
Corinthians - SP;1;Ponte Preta - SP;1;24;12/09/2012 19:30
Portuguesa - SP;0;Fluminense - RJ;2;24;12/09/2012 19:30
Figueirense - SC;2;Cruzeiro - MG;0;24;12/09/2012 19:30
Sport - PE;1;Bahia - BA;1;24;12/09/2012 20:30
Atlético - GO;1;Coritiba - PR;2;24;12/09/2012 20:30
Vasco da Gama - RJ;3;Palmeiras - SP;1;24;12/09/2012 22:00
Santos - SP;2;Flamengo - RJ;0;24;12/09/2012 22:00
Atlético - MG;1;São Paulo - SP;0;24;12/09/2012 22:00
Grêmio - RS;2;Náutico - PE;0;24;13/09/2012 21:00
Botafogo - RJ;1;Internacional - RS;1;24;13/09/2012 21:00
Fluminense - RJ;1;Atlético - GO;2;25;15/09/2012 18:30
São Paulo - SP;3;Portuguesa - SP;1;25;15/09/2012 18:30
Palmeiras - SP;0;Corinthians - SP;2;25;16/09/2012 16:00
Cruzeiro - MG;1;Vasco da Gama - RJ;1;25;16/09/2012 16:00
Coritiba - PR;1;Santos - SP;2;25;16/09/2012 16:00
Náutico - PE;1;Atlético - MG;0;25;16/09/2012 16:00
Bahia - BA;2;Figueirense - SC;1;25;16/09/2012 16:00
Flamengo - RJ;1;Grêmio - RS;1;25;16/09/2012 18:30
Internacional - RS;2;Sport - PE;2;25;16/09/2012 18:30
Ponte Preta - SP;0;Botafogo - RJ;0;25;16/09/2012 18:30
Fluminense - RJ;2;Náutico - PE;1;26;22/09/2012 18:30
Figueirense - SC;1;Palmeiras - SP;3;26;22/09/2012 18:30
Santos - SP;1;Portuguesa - SP;3;26;22/09/2012 21:00
Botafogo - RJ;2;Corinthians - SP;2;26;23/09/2012 16:00
São Paulo - SP;1;Cruzeiro - MG;0;26;23/09/2012 16:00
Ponte Preta - SP;0;Vasco da Gama - RJ;0;26;23/09/2012 16:00
Atlético - GO;1;Flamengo - RJ;2;26;23/09/2012 16:00
Internacional - RS;3;Bahia - BA;1;26;23/09/2012 18:30
Atlético - MG;0;Grêmio - RS;0;26;23/09/2012 18:30
Sport - PE;1;Coritiba - PR;0;26;23/09/2012 18:30
Náutico - PE;2;Atlético - GO;0;27;29/09/2012 18:30
Portuguesa - SP;1;Atlético - MG;1;27;29/09/2012 18:30
Vasco da Gama - RJ;3;Figueirense - SC;1;27;29/09/2012 18:30
Cruzeiro - MG;0;Internacional - RS;0;27;29/09/2012 18:30
Palmeiras - SP;3;Ponte Preta - SP;0;27;29/09/2012 21:00
Flamengo - RJ;0;Fluminense - RJ;1;27;30/09/2012 16:00
Corinthians - SP;3;Sport - PE;0;27;30/09/2012 16:00
Coritiba - PR;1;São Paulo - SP;1;27;30/09/2012 16:00
Bahia - BA;2;Botafogo - RJ;0;27;30/09/2012 16:00
Grêmio - RS;1;Santos - SP;1;27;30/09/2012 18:30
Flamengo - RJ;0;Bahia - BA;0;28;04/10/2012 21:00
Portuguesa - SP;5;Sport - PE;1;28;04/10/2012 21:00
Coritiba - PR;1;Ponte Preta - SP;0;28;04/10/2012 21:00
São Paulo - SP;3;Palmeiras - SP;0;28;06/10/2012 16:00
Atlético - GO;0;Vasco da Gama - RJ;1;28;06/10/2012 16:20
Santos - SP;1;Internacional - RS;1;28;06/10/2012 16:20
Náutico - PE;2;Corinthians - SP;1;28;06/10/2012 16:20
Fluminense - RJ;1;Botafogo - RJ;0;28;06/10/2012 18:30
Grêmio - RS;2;Cruzeiro - MG;1;28;06/10/2012 18:30
Atlético - MG;6;Figueirense - SC;0;28;06/10/2012 18:30
Botafogo - RJ;0;Santos - SP;2;29;10/10/2012 19:30
Cruzeiro - MG;2;Portuguesa - SP;0;29;10/10/2012 19:30
Ponte Preta - SP;2;Náutico - PE;1;29;10/10/2012 19:30
Figueirense - SC;3;Atlético - GO;1;29;10/10/2012 19:30
Bahia - BA;0;Fluminense - RJ;2;29;10/10/2012 19:30
Internacional - RS;3;Atlético - MG;0;29;10/10/2012 22:00
Vasco da Gama - RJ;0;São Paulo - SP;2;29;10/10/2012 22:00
Corinthians - SP;3;Flamengo - RJ;2;29;10/10/2012 22:00
Palmeiras - SP;0;Coritiba - PR;1;29;11/10/2012 21:00
Sport - PE;1;Grêmio - RS;3;29;11/10/2012 21:00
Atlético - GO;3;Internacional - RS;1;30;13/10/2012 18:30
Flamengo - RJ;1;Cruzeiro - MG;1;30;13/10/2012 18:30
Portuguesa - SP;1;Corinthians - SP;1;30;13/10/2012 21:00
Santos - SP;2;Vasco da Gama - RJ;0;30;14/10/2012 16:00
São Paulo - SP;2;Figueirense - SC;0;30;14/10/2012 16:00
Atlético - MG;2;Sport - PE;1;30;14/10/2012 16:00
Coritiba - PR;2;Bahia - BA;1;30;14/10/2012 16:00
Náutico - PE;1;Palmeiras - SP;0;30;14/10/2012 16:00
Fluminense - RJ;2;Ponte Preta - SP;1;30;14/10/2012 18:30
Grêmio - RS;1;Botafogo - RJ;1;30;14/10/2012 18:30
Bahia - BA;0;Palmeiras - SP;1;31;17/10/2012 19:30
Fluminense - RJ;2;Grêmio - RS;2;31;17/10/2012 19:30
Coritiba - PR;2;Náutico - PE;1;31;17/10/2012 19:30
Internacional - RS;2;Figueirense - SC;3;31;17/10/2012 19:30
Santos - SP;2;Atlético - MG;2;31;17/10/2012 22:00
Cruzeiro - MG;2;Corinthians - SP;0;31;17/10/2012 22:00
Portuguesa - SP;0;Flamengo - RJ;0;31;17/10/2012 22:00
Botafogo - RJ;3;Vasco da Gama - RJ;2;31;18/10/2012 21:00
São Paulo - SP;2;Atlético - GO;0;31;18/10/2012 21:00
Sport - PE;3;Ponte Preta - SP;1;31;18/10/2012 21:00
Grêmio - RS;0;Coritiba - PR;0;32;20/10/2012 18:30
Corinthians - SP;1;Bahia - BA;1;32;20/10/2012 18:30
Palmeiras - SP;2;Cruzeiro - MG;0;32;20/10/2012 18:30
Flamengo - RJ;1;São Paulo - SP;0;32;21/10/2012 16:00
Atlético - MG;3;Fluminense - RJ;2;32;21/10/2012 16:00
Náutico - PE;0;Portuguesa - SP;0;32;21/10/2012 16:00
Ponte Preta - SP;1;Santos - SP;0;32;21/10/2012 18:30
Atlético - GO;0;Sport - PE;1;32;21/10/2012 18:30
Vasco da Gama - RJ;1;Internacional - RS;2;32;24/10/2012 20:30
